Date;Chinese Yuan;Russian Ruble;U.K. Pound Sterling;Euro;;Y n-2;R n-2;UK n-2;EUR n-2;Y n-1;R n-1;UK n-1;EUR n-1;;EUR n;;DYn-1;DRn-1;DUKn-1;DEURn-1;DEURn
01/03/2018;6,3418;56,4334;1,3745;1,2171;;6,3418;56,4334;1,3745;1,2171;6,3497;56,6616;1,37905;1,2312;;1,2307;;0,0079;0,2282;0,00455;0,0141;-0,0005
02/03/2018;6,3497;56,6616;1,37905;1,2312;;6,3497;56,6616;1,37905;1,2312;6,3415;57,1;1,3813;1,2307;;1,2411;;-0,0082;0,4384;0,00225;-0,0005;0,0104
05/03/2018;6,3415;57,1;1,3813;1,2307;;6,3415;57,1;1,3813;1,2307;6,3431;56,5041;1,38985;1,2411;;1,2417;;0,0016;-0,5959;0,00855;0,0104;0,0006
06/03/2018;6,3431;56,5041;1,38985;1,2411;;6,3431;56,5041;1,38985;1,2411;6,3257;56,8011;1,38555;1,2417;;1,2302;;-0,0174;0,297;-0,0043;0,0006;-0,0115
07/03/2018;6,3257;56,8011;1,38555;1,2417;;6,3257;56,8011;1,38555;1,2417;6,3223;56,6122;1,3854;1,2302;;1,2378;;-0,0034;-0,1889;-0,00015;-0,0115;0,0076
12/03/2018;6,3223;56,6122;1,3854;1,2302;;6,3223;56,6122;1,3854;1,2302;6,3324;56,9359;1,3894;1,2378;;1,2369;;0,0101;0,3237;0,004;0,0076;-0,0009
13/03/2018;6,3324;56,9359;1,3894;1,2378;;6,3324;56,9359;1,3894;1,2378;6,3168;56,9372;1,3976;1,2369;;1,2341;;-0,0156;0,0013;0,0082;-0,0009;-0,0028
14/03/2018;6,3168;56,9372;1,3976;1,2369;;6,3168;56,9372;1,3976;1,2369;6,3236;57,0188;1,3929;1,2341;;1,2301;;0,0068;0,0816;-0,0047;-0,0028;-0,004
15/03/2018;6,3236;57,0188;1,3929;1,2341;;6,3236;57,0188;1,3929;1,2341;6,3261;57,4942;1,39675;1,2301;;1,2309;;0,0025;0,4754;0,00385;-0,004;0,0008
16/03/2018;6,3261;57,4942;1,39675;1,2301;;6,3261;57,4942;1,39675;1,2301;6,331;57,5521;1,4046;1,2309;;1,2276;;0,0049;0,0579;0,00785;0,0008;-0,0033
19/03/2018;6,331;57,5521;1,4046;1,2309;;6,331;57,5521;1,4046;1,2309;6,331;57,7033;1,4008;1,2276;;1,2316;;0;0,1512;-0,0038;-0,0033;0,004
20/03/2018;6,331;57,7033;1,4008;1,2276;;6,331;57,7033;1,4008;1,2276;6,3197;56,8391;1,4192;1,2316;;1,2346;;-0,0113;-0,8642;0,0184;0,004;0,003
22/03/2018;6,3197;56,8391;1,4192;1,2316;;6,3197;56,8391;1,4192;1,2316;6,3276;57,1072;1,412;1,2346;;1,2411;;0,0079;0,2681;-0,0072;0,003;0,0065
